recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients,
134,Condiments,"Tesco Groundnut Oil 500Ml, £2.00 each",405ml groundnut oil,1,£2.00,405ml,groundnut oil,groundnut oil,
134,Condiments,"Blue Dragon Thai Red Paste Pot For Two 50G, £1.20 each",2 tbsp thai red curry paste,1,£1.20,2 tbsp,thai red curry paste,thai red curry paste,
134,Condiments,"Tesco Rice Wine Vinegar 150Ml, £2.00 each",0.5 tsp rice wine vinegar,1,£2.00,0.5 tsp,rice wine vinegar,rice wine vinegar,
134,Condiments,"Kikkoman Soy Sauce 1 Litre, £6.90 each",1 tbsp soy sauce,1,£6.90,1 tbsp,soy sauce,soy sauce,
139,Condiments,"Tesco Red Wine Vinegar 350Ml, £1.05 each",1 tbsp red wine vinegar,1,£1.05,1 tbsp,red wine vinegar,red wine vinegar,
140,Condiments,"Tesco Pitted Black Olives 330G, £1.05 each",140g pitted black olives,1,£1.05,140g,pitted black olives,pitted black olives,
145,Condiments,"Tesco Pitted Black Olives 330G, £1.05 each",25g pitted black olives,1,£1.05,25g,pitted black olives,pitted black olives,
145,Condiments,"Tesco Red Wine Vinegar 350Ml, £1.05 each",4 tsp red wine vinegar,1,£1.05,4 tsp,red wine vinegar,red wine vinegar,
146,Condiments,"Aspall Organic Cyder Vinegar 350Ml, £2.00 each",150ml cider vinegar,1,£2.00,150ml,cider vinegar,cider vinegar,
149,Condiments,"Amoy Reduced Salt Soy Sauce 150Ml, £2.00 each",1 tbsp reduced-salt soy sauce,1,£2.00,1 tbsp,reduced-salt soy sauce,soy sauce,
149,Condiments,"Tesco Tomato Puree Tube 200G, £0.60 each",1 tbsp tomato purée,1,£0.60,1 tbsp,tomato purée,tomato purée,
